step,lr,train_loss,train_acc,val_acc,val_loss
0,0.0009804,2.296721,16.4062,,
1,0.0009803999051736336,2.274927,9.3750,,
2,0.000980399620694572,2.267380,21.0938,,
3,0.000980399146562927,2.166884,24.6094,,
4,0.0009803984827788865,2.130331,24.6094,,
5,0.0009803976293427119,2.031767,28.1250,,
6,0.0009803965862547404,1.925300,36.3281,,
7,0.000980395353515384,1.882839,37.1094,,
8,0.000980393931125129,1.742497,42.1875,,
9,0.000980392319084537,1.624242,46.0938,,
10,0.0009803905173942449,1.669303,42.9688,,
11,0.0009803885260549633,1.515473,53.1250,,
12,0.000980386345067479,1.409184,48.8281,,
13,0.000980383974432652,1.452710,50.0000,,
14,0.0009803814141514193,1.399810,55.0781,,
15,0.0009803786642247911,1.377079,54.6875,,
16,0.0009803757246538531,1.285536,54.6875,,
17,0.0009803725954397658,1.408746,51.1719,,
18,0.0009803692765837646,1.225106,62.8906,,
19,0.00098036576808716,1.375027,51.9531,,
20,0.0009803620699513366,1.328419,58.9844,,
21,0.0009803581821777544,1.162499,64.8438,,
22,0.0009803541047679486,1.083189,64.8438,,
23,0.0009803498377235287,1.211443,60.1562,,
24,0.0009803453810461793,1.325763,53.5156,,
25,0.00098034073473766,1.356395,53.1250,,
26,0.0009803358987998045,1.122518,61.3281,,
27,0.0009803308732345226,1.080395,59.7656,,
28,0.000980325658043798,1.146329,60.1562,,
29,0.0009803202532296896,0.969572,69.9219,,
30,0.000980314658794331,1.122899,59.3750,,
31,0.0009803088747399314,1.190267,56.2500,,
32,0.0009803029010687734,1.066769,64.4531,,
33,0.0009802967377832159,1.078668,66.7969,,
34,0.0009802903848856919,1.186254,62.5000,,
35,0.0009802838423787095,1.145879,57.0312,,
36,0.0009802771102648514,1.032653,63.6719,,
37,0.0009802701885467753,1.053119,64.4531,,
38,0.000980263077227214,1.072054,66.0156,,
39,0.000980255776308975,1.081640,60.5469,,
40,0.0009802482857949402,1.114768,62.8906,,
41,0.000980240605688067,0.952934,67.5781,,
42,0.0009802327359913876,1.004394,66.7969,,
43,0.0009802246767080082,0.925753,68.3594,,
44,0.0009802164278411112,1.034529,69.9219,,
45,0.0009802079893939527,0.874798,71.4844,,
46,0.0009801993613698641,1.021763,64.8438,,
47,0.0009801905437722515,1.073528,64.4531,,
48,0.0009801815366045964,1.025747,69.5312,,
49,0.0009801723398704543,0.931114,71.4844,,
50,0.000980162953573456,0.869196,70.7031,,
51,0.0009801533777173072,0.999180,67.9688,,
52,0.000980143612305788,1.064652,64.0625,,
53,0.0009801336573427538,0.926446,66.7969,,
54,0.0009801235128321347,0.913819,69.1406,,
55,0.0009801131787779355,0.878200,74.6094,,
56,0.0009801026551842361,0.887832,72.2656,,
57,0.0009800919420551908,0.965808,68.3594,,
58,0.0009800810393950294,0.975340,70.3125,,
59,0.0009800699472080556,0.786247,73.8281,,
60,0.0009800586654986486,0.840147,75.0000,,
61,0.0009800471942712622,1.027612,67.1875,,
62,0.0009800355335304251,0.781171,77.7344,,
63,0.000980023683280741,0.887846,70.7031,,
64,0.0009800116435268878,0.865271,73.4375,,
65,0.000979999414273619,0.744787,75.3906,,
66,0.000979986995525762,0.876297,71.4844,,
67,0.0009799743872882201,0.974911,69.5312,,
68,0.0009799615895659704,0.871915,75.7812,,
69,0.0009799486023640655,0.815360,73.4375,,
70,0.0009799354256876324,0.839548,74.6094,,
71,0.0009799220595418732,0.897415,69.1406,,
72,0.0009799085039320643,0.670686,80.4688,,
73,0.0009798947588635575,0.701304,81.2500,,
74,0.0009798808243417793,0.869302,72.6562,,
75,0.0009798667003722307,0.776801,73.8281,,
76,0.0009798523869604871,0.856591,74.2188,,
77,0.0009798378841122,0.609581,80.4688,,
78,0.0009798231918330947,0.727549,78.5156,,
79,0.000979808310128971,0.706654,77.3438,,
80,0.0009797932390057044,0.640123,80.0781,,
81,0.0009797779784692447,0.644321,80.4688,,
82,0.0009797625285256164,0.710147,77.3438,,
83,0.000979746889180919,0.608542,79.2969,,
84,0.0009797310604413266,0.842315,75.3906,,
85,0.000979715042313088,0.599313,80.8594,,
86,0.0009796988348025272,0.667070,81.2500,,
87,0.0009796824379160426,0.692362,77.7344,,
88,0.0009796658516601072,0.719798,75.7812,,
89,0.0009796490760412692,0.658726,75.7812,,
90,0.0009796321110661513,0.596552,82.4219,,
91,0.000979614956741451,0.703652,75.3906,,
92,0.0009795976130739404,0.652540,82.0312,,
93,0.0009795800800704668,0.679926,78.9062,,
94,0.000979562357737952,0.673636,78.9062,,
95,0.000979544446083392,0.628753,77.3438,,
96,0.0009795263451138582,0.645463,80.8594,,
97,0.0009795080548364971,0.723513,75.3906,,
98,0.0009794895752585288,0.587698,82.0312,,
99,0.0009794709063872492,0.676232,78.1250,88.6300,0.425861
100,0.000979452048230028,0.532126,82.4219,88.6300,0.425861
101,0.0009794330007943104,0.683497,80.0781,88.6300,0.425861
102,0.000979413764087616,0.555203,83.2031,88.6300,0.425861
103,0.0009793943381175391,0.579190,79.2969,88.6300,0.425861
104,0.000979374722891749,0.587901,78.9062,88.6300,0.425861
105,0.0009793549184179892,0.618878,82.8125,88.6300,0.425861
106,0.000979334924704078,0.652882,79.6875,88.6300,0.425861
107,0.000979314741757909,0.543531,82.8125,88.6300,0.425861
108,0.00097929436958745,0.547300,79.6875,88.6300,0.425861
109,0.0009792738082007436,0.539754,83.2031,88.6300,0.425861
110,0.000979253057605907,0.469640,84.3750,88.6300,0.425861
111,0.0009792321178111326,0.579424,82.8125,88.6300,0.425861
112,0.0009792109888246865,0.554659,83.2031,88.6300,0.425861
113,0.0009791896706549104,0.609903,84.3750,88.6300,0.425861
114,0.0009791681633102205,0.499709,81.2500,88.6300,0.425861
115,0.0009791464667991074,0.537837,83.2031,88.6300,0.425861
116,0.0009791245811301365,0.649943,82.0312,88.6300,0.425861
117,0.000979102506311948,0.508072,85.5469,88.6300,0.425861
